finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/archives/f2e7648c09e08191ad848e57aeee7474,cypherair/cypherair,https://github.com/cypherair/cypherair,Release builds trust mutable arm64e compiler prereleases,"This commit changes the official XCFramework build path so release workflows build arm64e slices with a downloaded custom Rust stage1 toolchain. The stable and edge release workflows set ARM64E_STAGE1_FORCE_DOWNLOAD=1 and ARM64E_STAGE1_RELEASE_TAG=latest, so each release build dynamically selects the newest matching prerelease in cypherair/rust. The build script then downloads the compiler tarball and its SHA256 file from that same release, checks the tarball against the co-hosted checksum, extracts it, and executes the resulting rustc as part of cargo builds. There is no pin to an expected tag, digest, commit, or verified attestation before executing the compiler. A compromised or malicious cypherair/rust prerelease asset can therefore supply both a modified compiler and matching checksum, causing CI to execute attacker-controlled code and to publish backdoored arm64e slices in PgpMobile.xcframework. Because CypherAir protects OpenPGP private keys and plaintext, a backdoored FFI engine in the distributed framework could directly compromise confidentiality and integrity for users running arm64e device slices.",high,false_positive,2026-05-29T05:19:51.076610Z,2026-04-24 03:14:07 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,6c7a836e16ba28fd44f5d07fcc9962177d8b9bab,github/workflows/stable-build-release.yml | github/workflows/xcframework-edge-release.yml | scripts/build_apple_arm64e_xcframework.sh,"This finding should be closed as a false positive. It treats the referenced arm64e stage1 compiler prerelease source as an untrusted third-party dependency, but that trust boundary is incorrect for this project. The `cypherair/rust` stage1 prerelease channel is a first-party maintained toolchain input used intentionally by CypherAir release workflows, not an external dependency author or third-party package source.

Because the reported risk depends on treating that first-party toolchain channel as outside the project's trusted release infrastructure, the described issue does not represent a real reachable security vulnerability under the project's release trust model. Pinning an exact toolchain tag or digest could be considered reproducibility hardening, but it is not a required security fix for this finding."
https://chatgpt.com/codex/cloud/security/archives/0cb2d605ae5c8191b0842302245431ad,cypherair/cypherair,https://github.com/cypherair/cypherair,Candidate gate ignores untracked build inputs,"The commit adds a pre-archive validation intended to prove that an App Store candidate was built from the exact stable tag. However, the implementation runs `git status --untracked-files=no`, and the new tests assert that untracked files do not block candidate validation. This leaves build-affecting untracked or ignored inputs outside the provenance gate. In this project, the app target uses a `PBXFileSystemSynchronizedRootGroup` for `Sources`, so added local source files can be considered by Xcode, and the app links `PgpMobile.xcframework`, which is explicitly ignored by Git and is only checked for the existence of `Info.plist`. A malicious or stale untracked source file or replaced local XCFramework can therefore be included in an App Store candidate while validation still passes and `SourceComplianceInfo.json` reports the clean tagged HEAD commit. This undermines the source provenance guarantee and can allow a locally planted malicious build artifact to be shipped as if it matched the published stable source.",high,wontfix,2026-05-29T05:35:44.248431Z,2026-04-20 01:49:50 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,fe3d7d4bacf80d72bb95ab6cb100a4f4c90b3c5e,scripts/validate_app_store_candidate_release.py | scripts/tests/test_validate_app_store_candidate_release.py | CypherAir.xcodeproj/project.pbxproj | gitignore | scripts/generate_source_compliance_info.py,"Closing as by-design / won't fix. The finding assumes that formal App Store candidate archives must prove byte-for-byte identity with the `PgpMobile.xcframework` published on the GitHub stable release page. That is not the project’s intended trust model.

For App Store candidates, the local maintainer build environment is trusted, and `PgpMobile.xcframework` is intentionally a locally generated artifact built through the documented `./build-xcframework.sh --release` path. The candidate gate is intended to prove the app source checkout, stable tag, release existence, and source-compliance metadata, not to require the local archive to consume the GitHub-published XCFramework binary asset.

Requiring every candidate archive to download and use or byte-compare the GitHub release XCFramework would add release fragility and operational cost without matching the project’s chosen release workflow. The residual risk is treated as release-operator discipline around refreshing local generated artifacts, not as a security vulnerability requiring a code change."
https://chatgpt.com/codex/cloud/security/archives/1a2f54d7f6dc8191a7a7bba0fc3e3204,cypherair/cypherair,https://github.com/cypherair/cypherair,Reset leaves legacy contact files behind,"Older CypherAir versions stored contact public certificates and contact metadata under the app Documents contacts directory and a contacts.quarantine directory. This commit removes the legacy contacts projection and migration path, but it also removes the reset service's knowledge of those legacy directories. As a result, users upgrading with existing legacy contact files can reset all local data and receive a successful reset even though those files remain on disk. The remaining files may expose the user's contact graph, names/emails from public certificate user IDs, and manual verification/trust metadata, and they violate the security expectation of a full local-data wipe.",medium,wontfix,2026-05-29T04:27:54.073507Z,2026-05-18 22:28:27 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,1b23cfe6fa352332d5a6899c647f660422e723b3,Sources/Services/ContactService.swift | Sources/App/Settings/LocalDataResetService.swift,"Closing as wont-fix/by-design. Current CypherAir Contacts state is the protected contacts domain under ProtectedData. Legacy flat files under Documents/contacts and Documents/contacts.quarantine were intentionally removed from the supported app-state model: the current app does not read, migrate, quarantine, trust, or reset-clean them. They cannot affect current contact resolution, certification state, recipient selection, or encryption behavior. This is an intentional legacy support cutoff rather than an active security issue."
https://chatgpt.com/codex/cloud/security/archives/e3704fde333081918a2fc4404432a502,cypherair/cypherair,https://github.com/cypherair/cypherair,PRs can warning-skip hosted Swift unit tests,"The commit changes the PR and nightly Swift unit-test job from always running `xcodebuild test` after selecting Xcode to running it only when `scripts/ci_xcode_platform_preflight.sh macos-unit-test-preflight` emits `ready=true`. That preflight reads `MACOSX_DEPLOYMENT_TARGET` from the checked-out Xcode project and treats `host macOS < MACOSX_DEPLOYMENT_TARGET` as a skippable hosted-environment mismatch. In a pull_request workflow, the checked-out project is PR-controlled, so a contributor can raise the macOS deployment target above the hosted runner version and cause the job to exit successfully with `ready=false`. The workflow then skips artifact restore and `xcodebuild test`, emits only a warning, and the job can pass without running the Swift unit tests. This is a CI integrity issue rather than an app runtime vulnerability, but it weakens a security-relevant PR validation gate for Swift authentication, storage, and key-management code.",medium,wontfix,2026-05-29T04:29:28.067336Z,2026-05-17 20:50:13 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,510425b412b57f434425266ca7a52806bbca720f,scripts/ci_xcode_platform_preflight.sh | github/workflows/pr-checks.yml,"Close as wont-fix.

The finding correctly observes that hosted Swift unit tests can be warning-skipped on GitHub Actions. This is intentional for the current CI environment: GitHub-hosted Swift/macOS validation is not treated as the authoritative Swift test gate because the hosted runner/signing environment is not fully configured for this project.

We are not configuring the required signing credentials in GitHub Actions at this time due to credential-exposure concerns. Before publishing App Store candidate builds, full Swift/Xcode validation is run on trusted maintainer-owned Apple hardware instead.

Therefore this is an accepted CI environment limitation, not a planned fix in GitHub-hosted PR checks."
https://chatgpt.com/codex/cloud/security/archives/b05242c664948191b3417612b868068d,cypherair/cypherair,https://github.com/cypherair/cypherair,Mutable OpenSSL fork branch weakens supply-chain pinning,"The OpenPGP engine uses Sequoia with the OpenSSL backend and the vendored openssl crate. This commit replaces the previous exact `rev` pin for the patched `openssl-src` fork with `branch = ""carry/apple-arm64e-openssl-fork""`. That branch is mutable and sits in a downstream carry chain for OpenSSL target support. A normal build of this exact checkout should still use the commit recorded in Cargo.lock, but the manifest no longer cryptographically/immutably identifies the intended dependency. Any build path that regenerates or updates Cargo.lock, builds without the lockfile, or accepts a lockfile drift can silently pick up a changed branch head. Because this dependency provides the vendored OpenSSL code linked into the app's OpenPGP cryptography, a compromised or malicious update to that branch could affect confidentiality, integrity, signing, verification, or release artifacts.",medium,false_positive,2026-05-29T05:19:15.390029Z,2026-04-24 01:34:53 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,755cec9331c870db4f9f971a5d4d9682b7aa5ee3,pgp-mobile/Cargo.toml | pgp-mobile/Cargo.lock | build-xcframework.sh | github/workflows/stable-build-release.yml | docs/TDD.md,"Closing as false positive. The finding treats the `openssl-src` branch dependency as an untrusted third-party mutable dependency, but that is not the project’s trust boundary.

The `openssl-src` patch points to `cypherair/openssl-src-rs`, a first-party CypherAir downstream carry repository used intentionally for Apple arm64e OpenSSL target support. The branch is part of the project’s maintained release infrastructure, not an external dependency author source. Normal and release builds use the checked-in `Cargo.lock`, which records the resolved `openssl-src-rs` commit, and the XCFramework build path uses Cargo `--locked`.

Release automation also records the resolved `openssl-src-rs` commit and OpenSSL submodule commit in `PgpMobile.arm64e-build-manifest.json` and checks the carry chain freshness for release builds. Therefore the reported issue does not describe a real reachable vulnerability under the project’s first-party carry-chain trust model. Using an exact `rev` could be considered an alternative reproducibility policy, but the current branch-tracking model is intentional and not a security bug."
https://chatgpt.com/codex/cloud/security/archives/c9c06a1e809c819194966ec9af67eb8c,cypherair/cypherair,https://github.com/cypherair/cypherair,High-security app access downgraded to passcode fallback,"Before this commit, AppContainer evaluated launch/resume authentication with config.authMode; users who selected AuthenticationMode.highSecurity therefore got biometric-only app access with no passcode fallback. This commit adds a separate AppSessionAuthenticationPolicy, but AppConfiguration initializes the new preference to userPresence unconditionally instead of deriving it from an existing highSecurity authMode or requiring an explicit migration choice. AppContainer now uses that new policy for app-session authentication, and ProtectedDataSessionCoordinator persists or migrates the app-data root secret using the same default policy. As a result, an existing user who had chosen High Security can be silently downgraded after upgrade: app launch/resume and newly persisted/migrated protected app-data root secrets use .deviceOwnerAuthentication / .userPresence, allowing device-passcode fallback where the previous high-security app gate required biometrics.",medium,false_positive,2026-05-29T05:24:37.717199Z,2026-04-23 18:55:07 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,15820db4603aedd9320c64c0bf24b2b495f48210,Sources/Models/AppConfiguration.swift | Sources/App/AppContainer.swift | Sources/Security/AuthenticationEvaluable.swift | Sources/Security/ProtectedData/ProtectedDataSessionCoordinator.swift,"This finding targets a one-time historical migration window from the old authMode preference to the newer separate App Access Protection policy. Current supported installs have already passed that migration path, and current High Security private-key protection remains enforced by the private-key-control protected domain. AuthenticationMode.highSecurity still gates private-key decrypt/sign/export with biometric-only access; App Access Protection is now an independent setting. We are closing this as not currently actionable for supported users. Legacy migration cleanup can be handled separately after the old-install support cutoff."
https://chatgpt.com/codex/cloud/security/archives/6d9bbb036edc8191bac8bd5eb13ff506,cypherair/cypherair,https://github.com/cypherair/cypherair,Authentication shield now uses translucent material,"The authentication shield is meant to hide secure content while Face ID, Touch ID, passcode, or Secure Enclave authorization prompts are in progress. This commit replaces the previous opaque full-screen gradient with SwiftUI `.ultraThinMaterial`. Materials are translucent/blurred backdrops rather than opaque covers, so sensitive plaintext, contact metadata, filenames, key information, or decrypted-message UI can remain partially visible through the shield, especially as colors, layout, large text, or high-contrast content. Because the same shield is shown around privacy and operation prompts, this weakens the confidentiality boundary precisely when the app is asking the user to authenticate.",medium,false_positive,2026-05-29T05:21:25.596758Z,2026-04-23 00:50:30 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,86f06ac9933076b1dc34043936f1e7447a9a0cff,Sources/App/Common/AuthenticationShieldHost.swift,"False positive. The material blur is an intentional privacy-screen design choice, not an accidental weakening of the authentication boundary. I visually reviewed the current implementation and do not consider the current material shield to expose readable sensitive content or create a practical privacy/security leak. The finding treats “not fully opaque” as equivalent to a security failure, but that does not match the intended design or observed behavior."
https://chatgpt.com/codex/cloud/security/archives/eddd21469998819181bbf2a643064c09,cypherair/cypherair,https://github.com/cypherair/cypherair,Unbounded signature file import can exhaust app memory,"The newly added ContactCertificateSignaturesScreenModel accepts .asc, .sig, plain text, and generic data files as signature input. When a file is selected, the default import action reads the entire URL into memory with Data(contentsOf:) and then attempts to create a UTF-8 String from the same bytes. There is no file-size preflight, streaming parser, or upper bound appropriate for OpenPGP detached certification signatures. A user who selects an attacker-supplied very large file through the new workflow can force excessive allocation and likely terminate the app due to memory pressure. This is an availability issue in a new attacker-controlled input path.",medium,false_positive,2026-05-29T05:39:30.208023Z,2026-04-19 14:26:36 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,0b8f60395f25f4e77195a25e0ff06ee6a7ca71cd,Sources/App/Contacts/ContactCertificateSignaturesScreenModel.swift,"Closing as false positive. This path requires the user to manually select an abnormally large local file in the certification-signature importer. Normal OpenPGP detached certification signatures are small, and the selected data is only used for local verification/import preview; it is not trusted, persisted, or able to affect cryptographic state unless it later verifies as a valid certification. A large local file can cause ordinary memory/availability pressure, but that is generic robustness hardening rather than a security issue for this offline, user-mediated workflow."
https://chatgpt.com/codex/cloud/security/archives/b6673788d658819190bd5e40e16998a7,cypherair/cypherair,https://github.com/cypherair/cypherair,Vendored OpenSSL source redirected to external git fork,"pgp-mobile builds OpenSSL in vendored mode, so openssl-src supplies the cryptographic C source and build logic used by Sequoia/OpenSSL. This commit adds a [patch.crates-io] override that redirects openssl-src from the checksummed crates.io package to https://github.com/cypherair/openssl-src-rs. Cargo.lock also loses the crates.io checksum for openssl-src and records a git source instead. Although the revision is pinned, the audited source is no longer contained in this repository nor protected by the crates.io checksum recorded in Cargo.lock. Release and XCFramework builds will compile and link cryptographic code obtained from that fork. If that fork revision is malicious or the dependency source is compromised before review, the attacker can alter OpenSSL behavior or execute build-time code, compromising generated app artifacts and cryptographic correctness.",medium,false_positive,2026-05-29T05:40:38.623239Z,2026-04-18 15:31:41 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,45538dbf6e7a84e6851dc6991c15731708e7c6bd,pgp-mobile/Cargo.toml | pgp-mobile/Cargo.lock | build-xcframework.sh,"Closing as false positive. The finding characterizes the `openssl-src` patch target as an external untrusted git fork, but that is not the project’s trust boundary.

The patch points to `cypherair/openssl-src-rs`, a first-party CypherAir downstream carry repository used intentionally to support Apple arm64e OpenSSL targets. That carry repository in turn tracks the CypherAir-maintained OpenSSL carry branch. This is part of the project’s maintained release infrastructure, not a third-party dependency source.

The resolved git commit is recorded in `pgp-mobile/Cargo.lock`, release builds use locked Cargo resolution, and release metadata records the resolved `openssl-src-rs` commit plus OpenSSL submodule commit in `PgpMobile.arm64e-build-manifest.json`. The project also performs release-time carry-chain freshness checks. Therefore this does not describe a real reachable vulnerability under the project’s first-party carry-chain trust model."
https://chatgpt.com/codex/cloud/security/archives/4b57512bd5ec819194bff3e78091181a,cypherair/cypherair,https://github.com/cypherair/cypherair,Unbounded detailed signature UI enables DoS,"The new detailed signature section renders `verification.signatures` in full and first copies the whole enumerated collection into an `Array`. Because OpenPGP signed, detached-signature, and encrypted+signed inputs are attacker-controlled and the Rust collector records every observed signature result, a crafted input containing a very large number of signatures can force large Swift allocations and SwiftUI view construction. This can cause memory exhaustion, UI hangs, or app crashes when the user verifies or decrypts the file/message. The UI should cap the number of detailed signatures retained/displayed, avoid eager `Array(...)` copies, and show a truncation notice for excessive entries.",medium,false_positive,2026-05-29T05:41:32.246858Z,2026-04-17 22:23:50 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,ba08b1fdf38c9f7e4bff74f8eaaa004afc7762d1,Sources/App/Common/DetailedSignatureSectionView.swift | Sources/App/Sign/VerifyView.swift | Sources/App/Decrypt/DecryptView.swift | Sources/App/Sign/VerifyScreenModel.swift | Sources/App/Decrypt/DecryptScreenModel.swift | pgp-mobile/src/signature_details.rs,"False positive for CypherAir’s security review scope. The finding describes a local, user-mediated availability risk from explicitly verifying/decrypting maliciously large signature sets, but it does not expose plaintext/private keys, weaken signature correctness, bypass authentication, or cross the app sandbox. CypherAir has no network ingress or automatic remote processing path, so this is not treated as a user-data security issue."
