finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/125bb562d9b48191bbceb02c1c9e934a,cypherair/cypherair,https://github.com/cypherair/cypherair,Provisioning sessions bypass immediate macOS relock,"The new provisioning wrappers start an operation-prompt session before Rust key generation or secret-key import/parsing begins, but the Secure Enclave authentication prompt is only reached later at wrapping time. AppLockController treats every macOS resign while an operation-prompt session is open as ambiguous and does not perform the normal immediate relock. If the app returns to foreground before the session ends, the deferred away event is discarded. As a result, a genuine app switch/away event during a long key generation or imported-key processing window can leave the app unlocked with gracePeriod=0, allowing a local person at the Mac to return to the app without reauthentication while the operation is still running or once it completes.",medium,new,2026-06-12T00:21:11.193503Z,2026-06-11 14:23:19 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,0e073cb09f2f088d5b2e34aa501307fe314ab368,Sources/Services/KeyManagement/KeyProvisioningService.swift | Sources/Security/ProtectedData/AppLockController.swift,
https://chatgpt.com/codex/cloud/security/findings/d72b05196e888191baeb4b742c6b1dc4,cypherair/cypherair,https://github.com/cypherair/cypherair,Modify-expiry can suppress immediate relock on macOS,"The new outer withOperationPrompt(source: ""modifyExpiry"") spans the full modify-expiry operation, not just the actual LocalAuthentication sheet. During this window the flow can unwrap secret key material, modify the certificate, generate/wrap a new Secure Enclave bundle, and update persistent state. AppLockController's macOS rule defers every resign while an operation-prompt session is open and discards the deferred away event if the app is foreground-active when the session ends. Therefore, if a user or local focus-stealing condition causes a genuine app switch after authentication but before the full modify-expiry operation completes, then returns before completion, a grace-period-immediate configuration will not lock or relock protected data. The intended fix should scope the operation-prompt lifecycle only to the actual authentication prompt, or otherwise distinguish prompt-generated resigns from genuine app-away events after the prompt has completed.",medium,new,2026-06-12T01:24:37.916385Z,2026-06-11 14:05:10 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,425b45bd9372f5ef54ba9d5005e26ef77fa3b640,Sources/App/AppContainer.swift | Sources/Services/KeyManagement/KeyMutationService.swift | Sources/Security/ProtectedData/AppLockController.swift,
https://chatgpt.com/codex/cloud/security/findings/c1b8e2983ee881918e8d9f8bba910eb1,cypherair/cypherair,https://github.com/cypherair/cypherair,Stale prompt mirror can swallow macOS away events,"This commit replaces the previous live check of AuthenticationPromptCoordinator.isOperationPromptInProgress with a main-actor counter updated by asynchronously scheduled begin/end hooks. The counter is deliberately kept positive until the end hook lands on the main actor. During that gap, the actual operation prompt may already be over, but AppLockController still treats any macOS didResignActive event as prompt-related. If the user or a local attacker switches the app away and back before handleOperationPromptsEnded runs, pendingOperationPromptAway is cleared because isForegroundActive is true, so awayGeneration is not bumped and grace=0 does not lock. This creates a race-dependent bypass of the app's immediate lock-on-away behavior after private-key/root-secret authentication prompts. The old code polled the coordinator's live depth and would not have suppressed an away after the coordinator depth had returned to zero.",medium,new,2026-06-11T17:46:45.283518Z,2026-06-11 09:06:39 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,74f6e1236a2f2eccd641ee144b362f41bc7ef53a,Sources/App/AppContainer.swift | Sources/Security/ProtectedData/AppLockController.swift,
https://chatgpt.com/codex/cloud/security/findings/67b9413549a08191a90b3f1cd8366edc,cypherair/cypherair,https://github.com/cypherair/cypherair,Local reset no longer removes legacy LARight root secrets,"LocalDataResetService now only deletes generic Keychain items, the current protected-data root-secret item, the device-binding key, Secure Enclave custody handles, files, and runtime state. The previous legacyRightStoreClient dependency and removeRight call were removed, and AppContainer no longer constructs or passes a ProtectedDataRightStoreClient. Because LARightStore rows are not generic-password Keychain rows returned by listItems(servicePrefix:), a stale legacy right-store row containing the protected-data root secret is not deleted or validated after reset. On installations upgraded from versions that used the legacy right store, resetAllLocalData can therefore complete successfully while a high-value root secret remains in local authentication storage. That residual secret could be recovered by a later build/downgrade or same-app code path capable of using LARightStore and satisfying local authentication, and could decrypt any retained or restored protected-data ciphertexts.",medium,new,2026-06-10T23:23:55.611854Z,2026-06-10 08:25:28 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,538f58a8a7b823e36ba5b196a4cff6bed284805a,Sources/App/Settings/LocalDataResetService.swift | Sources/App/AppContainer.swift | Sources/Security/ProtectedData/ProtectedDataRightStoreClient.swift,
https://chatgpt.com/codex/cloud/security/findings/a8f749680bc481918621107051952f96,cypherair/cypherair,https://github.com/cypherair/cypherair,Legacy high-security mode can be silently downgraded,"Private-key-control domain creation now always uses `Payload.initial(authMode: .standard)` in first-domain bootstrap, existing-shared-resource bootstrap, and pending-create recovery. In the previous code, these paths read the legacy `AuthPreferences.authModeKey` and preserved `highSecurity` or failed closed on invalid legacy values. Because `.standard` creates Secure Enclave keys with `.devicePasscode` fallback while `.highSecurity` is biometrics-only, a direct upgrade from the legacy state can silently weaken the operator's chosen private-key protection for newly generated or imported keys. Existing keys whose Secure Enclave ACLs were already biometrics-only may remain protected by their existing ACLs, but the app's authoritative private-key-control state becomes standard and subsequent key provisioning follows that weaker mode.",medium,new,2026-06-10T22:20:02.902932Z,2026-06-10 07:35:55 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,d814b6fd4653f40a867e98703729359cda318a34,Sources/Security/ProtectedData/PrivateKeyControlStore.swift | Sources/Security/AuthenticationEvaluable.swift | Sources/Services/KeyManagementService.swift,
https://chatgpt.com/codex/cloud/security/findings/42d4a486ba0c8191b45aaea7240f0ff0,cypherair/cypherair,https://github.com/cypherair/cypherair,Local reset leaves retired key metadata rows behind,"Legacy key metadata was previously stored as Keychain generic-password rows under the service prefix com.cypherair.v1.metadata. and the dedicated account com.cypherair.metadata. Those rows contain PGPKeyIdentity JSON, including public key material and revocationCert bytes. This commit removes the metadata account/prefix constants and the cleanup paths, but upgraded devices may still have these retired rows from earlier versions or failed migrations. resetAllLocalData now enumerates only KeychainConstants.defaultAccount and post-reset validation also checks only that account, so metadata-account rows can remain without causing reset failure. Per-key deletion likewise only removes private-key material and current catalog metadata, not retired metadata rows. This makes the local data reset/delete operation incomplete for legacy users and can leave revocation artifacts or key metadata accessible to future code with the same app Keychain access.",medium,new,2026-06-10T22:21:56.932289Z,2026-06-10 06:42:13 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,2fbc4d2d96a84d5bb73cfdf530b19dfbca69c7e3,Sources/App/Settings/LocalDataResetService.swift | Sources/Security/KeychainManageable.swift | Sources/Services/KeyManagement/KeyMutationService.swift | Sources/Models/PGPKeyIdentity.swift,
https://chatgpt.com/codex/cloud/security/findings/621d7464ee3881918feb6b6db61fce81,cypherair/cypherair,https://github.com/cypherair/cypherair,Legacy grace period reset weakens app relock timing,"Protected settings creation now always seeds the new domain with Payload.initial, which uses ProtectedOrdinarySettingsSnapshot.firstRunDefaults. That snapshot sets the app-session grace period to AuthPreferences.defaultGracePeriod, currently 180 seconds. The removed migration path previously copied the legacy UserDefaults grace-period value into the protected-settings payload. For a user who had selected a stricter legacy value such as 0 seconds and then upgrades without already having a committed schema-v2 protected-settings domain, the first protected-settings creation will silently replace that stricter setting with 180 seconds. AppLockController consumes this grace period to decide whether foregrounding the app requires re-authentication, so this can leave protected app contents accessible for up to three minutes when the user expected immediate re-authentication.",medium,new,2026-06-10T22:23:54.512198Z,2026-06-10 05:13:32 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,65f952adb703c7b6b487958fb7f79087dbe61e51,Sources/Security/ProtectedData/ProtectedSettingsStore.swift | Sources/Models/ProtectedOrdinarySettingsSnapshot.swift | Sources/Security/AuthenticationEvaluable.swift | Sources/Models/ProtectedOrdinarySettingsCoordinator.swift | Sources/App/AppContainer.swift | Sources/Security/ProtectedData/AppLockController.swift,
https://chatgpt.com/codex/cloud/security/findings/29a69695a80c8191826be766e180208b,cypherair/cypherair,https://github.com/cypherair/cypherair,Foreground resume can briefly reveal locked content,"After this cutover, the live app uses `isForegroundActive` for the privacy cover and `AppLockController.isLocked` for the lock surface. For non-zero grace periods, `handleAwayEvent` intentionally leaves `lockState` as `.unlocked` while the app is away and relies on the cosmetic cover to hide content. On foreground resume, however, the lifecycle observer first sets `isForegroundActive = true`, which removes the cover, and only then schedules `handleForegroundActive` in an unstructured async `Task`. If the grace period has expired, the app remains visually uncovered until that task runs and `runUnlockFlow` changes the lock state to `.authenticating`. This creates a race where decrypted content or protected UI can be shown briefly before authentication is required. The previous privacy-screen path kept the blur active while resume authentication was being decided; the new live wiring exposes the new observer/controller sequencing.",medium,new,2026-06-07T23:59:34.616155Z,2026-06-07 11:10:45 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,ed567f7aafd965d9700c13d71aff69d49d29a939,Sources/App/CypherAirApp.swift | Sources/App/Common/AppLifecycleObserver.swift | Sources/Security/ProtectedData/AppLockController.swift,
https://chatgpt.com/codex/cloud/security/findings/c288746885708191993660abfdb983b8,cypherair/cypherair,https://github.com/cypherair/cypherair,Hidden recipients remain selected during encryption,"This commit removes the separate always-visible selected-recipient group and replaces it with a single list over filteredRecipientContacts. If a user selects a recipient, then applies a search term or tag filter that hides that recipient, the row disappears from the chooser but the contact ID remains in selectedRecipients/effectiveRecipientContactIds. The Encrypt button remains enabled as long as at least one effective recipient exists and the selection is not stale. When encryption runs, validatedEffectiveRecipientContactIdsForEncryption returns all selectedRecipients, not just visible rows. As a result, plaintext or files can be encrypted to a recipient whose identity is no longer displayed in the recipient list, making review/confirmation incomplete and potentially disclosing the message to an unintended PGP recipient if that recipient obtains the ciphertext.",medium,new,2026-06-05T12:13:17.403427Z,2026-06-05 03:36:43 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,749777f9d958473ffdff1761bbb8afd5994a8a1a,Sources/App/Encrypt/EncryptRecipientChooser.swift | Sources/App/Encrypt/EncryptScreenModel.swift | Sources/Services/EncryptionService.swift,
https://chatgpt.com/codex/cloud/security/findings/90434042d17c819187a2df545d7848e4,cypherair/cypherair,https://github.com/cypherair/cypherair,Public docs disclose unfixed security findings,"No runtime Swift/Rust/application code is changed in this commit. However, the newly added security-review documents explicitly state that the listed findings are open and intended to be fixed, then publish detailed exploit-relevant information for several unresolved issues. Most notably, the document discloses the exact UserDefaults key that makes production authentication return success before LocalAuthentication, and it identifies the precise release workflow/token exposure and source-ref publication weaknesses. If these docs are in a public repository, this is an information disclosure that lowers attacker effort against already-unfixed vulnerabilities.",medium,new,2026-05-31T08:00:07.208637Z,2026-05-31 00:04:52 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,f3e13997bd9e6934307a280992938a6beca6bf93,docs/CODEX_SECURITY_REVIEW.md | docs/CODEX_SECURITY_REVIEW_INDEX.md,
